id,vintage_id,wine_id,wine_type,quantity,location,event_type,metadata,created_at
2646,845,845,White,1,Fridge 2,consume,"{"guest_count":4}",2024-01-05
2647,808,808,Red,1,Main Cellar A1,consume,"{"guest_count":2}",2024-01-05
4239,845,845,White,1,Fridge 2,consume,"{"guest_count":4}",2024-01-05
4240,808,808,Red,1,Main Cellar A1,consume,"{"guest_count":2}",2024-01-05
2648,23,23,Sparkling,1,Fridge 2,consume,"{"guest_count":3}",2024-01-10
2649,666,666,Red,1,Fridge 2,consume,"{"guest_count":2}",2024-01-10
4241,23,23,Sparkling,1,Fridge 2,consume,"{"guest_count":3}",2024-01-10
4242,666,666,Red,1,Fridge 2,consume,"{"guest_count":2}",2024-01-10
2650,284,284,Red,1,Fridge 2,consume,"{"guest_count":3}",2024-01-12
4243,284,284,Red,1,Fridge 2,consume,"{"guest_count":3}",2024-01-12
2651,667,667,Red,2,Guest Pantry 2,consume,"{"guest_count":4}",2024-01-15
2652,675,675,Red,1,Fridge 1,consume,"{"guest_count":4}",2024-01-15
2653,351,351,White,1,Fridge 2,consume,"{"guest_count":3}",2024-01-17
4244,23,null,Sparkling,12,Fridge 2,receive,"{"order_id":295}",2024-01-18
2654,205,205,Red,1,Wine Fridge Starboard,consume,"{"guest_count":2}",2024-01-22
2655,935,935,Red,1,Guest Pantry 1,consume,"{"guest_count":3}",2024-01-22
4245,23,null,Sparkling,12,Fridge 2,receive,"{"order_id":296}",2024-01-22
4246,23,null,Sparkling,12,Fridge 2,receive,"{"order_id":297}",2024-01-22
4247,21,21,Sparkling,1,Fridge 2,consume,"{"guest_count":3}",2024-01-24
4248,5,5,Sparkling,2,Main Cellar A1,consume,"{"guest_count":4}",2024-01-24
4249,5,null,Sparkling,12,Main Cellar A1,receive,"{"order_id":298}",2024-02-03
4250,554,null,White,12,Fridge 2,receive,"{"order_id":298}",2024-02-03
4251,658,658,Red,1,Wine Fridge Port,consume,"{"guest_count":3}",2024-02-04
4252,183,183,Red,2,Fridge 1,consume,"{"guest_count":4}",2024-02-12
4253,554,554,White,1,Fridge 2,consume,"{"guest_count":2}",2024-02-12
2656,631,631,Red,1,Wine Fridge Port,consume,"{"guest_count":2}",2024-02-18
2657,9,9,Sparkling,1,Main Cellar A1,consume,"{"guest_count":4}",2024-02-18
4254,614,614,Red,2,Guest Pantry 2,consume,"{"guest_count":4}",2024-02-19
2658,924,924,Red,2,Fridge 2,consume,"{"guest_count":4}",2024-02-24
4255,614,null,Red,12,Guest Pantry 2,receive,"{"order_id":299}",2024-02-28
2659,583,583,Red,1,Guest Pantry 1,consume,"{"guest_count":4}",2024-03-05
2660,948,948,Red,2,Wine Fridge Starboard,consume,"{"guest_count":4}",2024-03-05
4256,753,753,Red,1,Guest Pantry 2,consume,"{"guest_count":2}",2024-03-05
4257,65,65,Sparkling,2,Main Cellar B1,consume,"{"guest_count":4}",2024-03-06
4258,833,833,White,1,Main Cellar B3,consume,"{"guest_count":3}",2024-03-06
4259,523,523,White,1,Main Cellar B1,consume,"{"guest_count":2}",2024-03-07
4260,99,99,Sparkling,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-03-07
2661,523,523,White,1,Main Cellar B1,consume,"{"guest_count":2}",2024-03-08
2662,99,99,Sparkling,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-03-08
4261,839,839,White,5,Main Cellar B1,consume,"{"guest_count":10}",2024-03-10
4262,118,118,Sparkling,2,Guest Pantry 1,consume,"{"guest_count":6}",2024-03-10
2663,797,797,Red,2,Fridge 1,consume,"{"guest_count":6}",2024-03-11
2664,248,248,Red,3,Main Cellar A1,consume,"{"guest_count":6}",2024-03-11
2665,879,null,Red,12,Main Cellar B3,receive,"{"order_id":63}",2024-03-13
2666,112,112,Sparkling,5,Fridge 2,consume,"{"guest_count":9}",2024-03-17
2667,391,391,Red,5,Fridge 1,consume,"{"guest_count":9}",2024-03-17
4263,833,null,White,12,Main Cellar B3,receive,"{"order_id":300}",2024-03-17
2668,756,756,Red,6,Fridge 2,consume,"{"guest_count":11}",2024-03-18
2669,97,97,Sparkling,3,Fridge 1,consume,"{"guest_count":10}",2024-03-18
2670,248,null,Red,12,Main Cellar A1,receive,"{"order_id":65}",2024-03-20
2671,248,null,Red,12,Main Cellar A1,receive,"{"order_id":64}",2024-03-21
4264,878,878,White,2,Main Cellar A2,consume,"{"guest_count":4}",2024-03-21
4265,510,510,White,1,Guest Pantry 1,consume,"{"guest_count":2}",2024-03-21
4266,833,null,White,12,Main Cellar B3,receive,"{"order_id":301}",2024-03-22
2672,178,178,Red,1,Fridge 2,consume,"{"guest_count":2}",2024-03-23
4267,756,756,Red,6,Fridge 2,consume,"{"guest_count":11}",2024-03-23
4268,97,97,Sparkling,3,Fridge 1,consume,"{"guest_count":10}",2024-03-23
2673,391,null,Red,12,Fridge 1,receive,"{"order_id":66}",2024-03-24
2674,112,null,Sparkling,12,Fridge 2,receive,"{"order_id":66}",2024-03-24
2675,97,null,Sparkling,12,Fridge 1,receive,"{"order_id":66}",2024-03-24
2676,248,null,Red,12,Main Cellar A1,receive,"{"order_id":66}",2024-03-24
4269,880,880,Red,2,Main Cellar A1,consume,"{"guest_count":6}",2024-03-25
4270,423,423,Red,3,Guest Pantry 1,consume,"{"guest_count":9}",2024-03-25
2677,117,117,Sparkling,1,Main Cellar A2,consume,"{"guest_count":2}",2024-03-26
2678,273,273,Red,1,Fridge 1,consume,"{"guest_count":2}",2024-03-27
2679,311,311,Red,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-03-27
4271,913,913,Red,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-03-29
4272,787,787,Red,2,Fridge 2,consume,"{"guest_count":4}",2024-03-29
2680,25,25,Sparkling,4,Fridge 1,consume,"{"guest_count":12}",2024-03-30
4273,756,null,Red,12,Fridge 2,receive,"{"order_id":302}",2024-03-30
4274,756,null,Red,12,Fridge 2,receive,"{"order_id":303}",2024-03-31
4275,880,null,Red,12,Main Cellar A1,receive,"{"order_id":303}",2024-03-31
4276,280,280,Red,1,Wine Fridge Starboard,consume,"{"guest_count":2}",2024-03-31
2681,117,117,Sparkling,1,Main Cellar A2,consume,"{"guest_count":3}",2024-04-01
2682,380,380,Red,1,Fridge 1,consume,"{"guest_count":2}",2024-04-02
2683,670,670,Red,1,Fridge 1,consume,"{"guest_count":2}",2024-04-02
4277,831,831,White,2,Guest Pantry 2,consume,"{"guest_count":5}",2024-04-03
