id,recommendation_id,user_id,session_id,overall_rating,flavor_harmony_rating,texture_balance_rating,acidity_match_rating,tannin_balance_rating,body_match_rating,regional_tradition_rating,occasion,guest_count,time_of_day,season,weather_context,selected,created_at
670,2697,owner,670,5,5,5,5,4,5,5,celebration,4,afternoon,winter,outdoor,1,2024-01-05
671,2700,owner,671,4,3,4,3,3,5,4,celebration,2,evening,winter,outdoor,1,2024-01-05
1788,7198,owner,1788,5,5,5,5,4,5,5,celebration,4,afternoon,winter,outdoor,1,2024-01-05
1789,7201,owner,1789,4,3,4,3,3,5,4,celebration,2,evening,winter,outdoor,1,2024-01-05
672,2706,owner,672,4,5,4,4,3,3,4,celebration,3,afternoon,winter,outdoor,1,2024-01-10
673,2710,owner,673,4,3,4,3,4,4,5,celebration,2,night,winter,outdoor,1,2024-01-10
1790,7207,owner,1790,4,5,4,4,3,3,4,celebration,3,afternoon,winter,outdoor,1,2024-01-10
1791,7211,owner,1791,4,3,4,3,4,4,5,celebration,2,night,winter,outdoor,1,2024-01-10
674,2712,owner,674,4,5,5,3,3,4,5,celebration,3,evening,winter,outdoor,1,2024-01-12
1792,7213,owner,1792,4,5,5,3,3,4,5,celebration,3,evening,winter,outdoor,1,2024-01-12
675,2715,owner,675,4,4,3,4,4,5,4,casual,4,afternoon,winter,outdoor,1,2024-01-15
676,2722,owner,676,5,5,4,4,4,4,5,casual,4,night,winter,outdoor,1,2024-01-15
677,2724,owner,677,4,5,4,3,3,4,5,celebration,3,night,winter,outdoor,1,2024-01-17
678,2729,owner,678,5,4,5,5,5,5,5,dinner,2,afternoon,winter,outdoor,1,2024-01-22
679,2733,owner,679,5,4,5,5,5,5,5,casual,3,night,winter,outdoor,1,2024-01-22
1793,7216,owner,1793,5,5,4,4,5,4,5,celebration,3,afternoon,winter,indoor,1,2024-01-24
1794,7221,owner,1794,4,5,4,3,3,4,5,celebration,4,evening,winter,indoor,1,2024-01-24
1795,7226,owner,1795,4,5,3,3,4,3,5,dinner,3,evening,winter,indoor,1,2024-02-04
1796,7230,owner,1796,5,5,5,5,5,4,5,dinner,4,afternoon,winter,outdoor,1,2024-02-12
1797,7232,owner,1797,5,4,5,4,4,5,5,casual,2,night,winter,outdoor,1,2024-02-12
680,2736,owner,680,4,3,4,3,4,4,5,celebration,2,afternoon,winter,outdoor,1,2024-02-18
681,2741,owner,681,5,4,5,5,5,4,5,casual,4,evening,winter,outdoor,1,2024-02-18
1798,7237,owner,1798,4,5,3,3,4,5,5,celebration,4,evening,winter,outdoor,1,2024-02-19
682,2745,owner,682,5,5,5,5,5,5,5,celebration,4,evening,winter,outdoor,1,2024-02-24
683,2748,owner,683,5,5,5,5,5,5,5,celebration,4,afternoon,spring,outdoor,1,2024-03-05
684,2753,owner,684,4,5,4,5,3,4,5,celebration,4,evening,spring,outdoor,1,2024-03-05
1799,7243,owner,1799,4,4,5,5,4,5,4,dinner,2,afternoon,spring,outdoor,1,2024-03-05
1800,7245,owner,1800,5,5,5,5,4,5,5,casual,4,afternoon,spring,indoor,1,2024-03-06
1801,7248,owner,1801,5,5,5,4,5,4,5,casual,3,night,spring,indoor,1,2024-03-06
1802,7253,owner,1802,5,5,5,5,5,5,5,dinner,2,afternoon,spring,outdoor,1,2024-03-07
1803,7259,owner,1803,5,5,5,4,4,5,5,dinner,4,evening,spring,outdoor,1,2024-03-07
685,2757,owner,685,5,5,5,5,5,5,5,dinner,2,afternoon,spring,outdoor,1,2024-03-08
686,2763,owner,686,5,5,5,4,4,5,5,dinner,4,evening,spring,outdoor,1,2024-03-08
1804,7262,guest_b,1804,4,3,5,3,4,5,4,cocktail,10,afternoon,spring,outdoor,1,2024-03-10
1805,7267,guest_b,1805,4,4,3,5,3,3,5,cocktail,6,evening,spring,outdoor,1,2024-03-10
687,2767,guest_a,687,3,4,2,2,3,2,3,lunch,6,afternoon,spring,outdoor,1,2024-03-11
688,2771,guest_a,688,5,5,5,4,5,4,5,cocktail,6,night,spring,outdoor,1,2024-03-11
689,2776,guest_b,689,5,4,4,4,4,5,5,celebration,9,afternoon,spring,outdoor,1,2024-03-17
690,2781,guest_b,690,4,3,5,3,3,4,4,cocktail,9,evening,spring,outdoor,1,2024-03-17
691,2787,guest_b,691,3,3,3,3,3,2,3,lunch,11,afternoon,spring,outdoor,1,2024-03-18
692,2789,guest_b,692,5,5,5,4,5,4,5,celebration,10,evening,spring,outdoor,1,2024-03-18
1806,7269,owner,1806,4,4,5,3,4,3,4,celebration,4,afternoon,spring,indoor,1,2024-03-21
1807,7272,owner,1807,5,5,5,4,4,5,5,celebration,2,evening,spring,indoor,1,2024-03-21
693,2797,owner,693,5,5,5,5,5,4,5,dinner,2,evening,spring,outdoor,1,2024-03-23
1808,7278,guest_b,1808,3,3,3,3,3,2,3,lunch,11,afternoon,spring,outdoor,1,2024-03-23
1809,7280,guest_b,1809,5,5,5,4,5,4,5,celebration,10,evening,spring,outdoor,1,2024-03-23
1810,7286,guest_b,1810,3,2,4,4,3,3,4,cocktail,6,afternoon,spring,indoor,1,2024-03-25
1811,7287,guest_b,1811,4,3,3,3,3,3,4,cocktail,9,evening,spring,indoor,1,2024-03-25
694,2798,owner,694,4,5,4,4,3,3,4,dinner,2,afternoon,spring,outdoor,1,2024-03-26
695,2803,owner,695,4,3,5,5,3,5,4,dinner,2,afternoon,spring,outdoor,1,2024-03-27
696,2807,owner,696,4,3,5,4,4,3,5,dinner,4,evening,spring,indoor,1,2024-03-27
1812,7291,guest_a,1812,4,3,3,4,4,3,4,dinner,4,afternoon,spring,outdoor,1,2024-03-29
1813,7295,guest_a,1813,4,3,5,5,4,3,4,cocktail,4,night,spring,outdoor,1,2024-03-29
697,2812,guest_b,697,4,4,3,4,3,4,4,celebration,12,afternoon,spring,outdoor,1,2024-03-30
1814,7300,owner,1814,4,3,3,4,3,3,5,casual,2,evening,spring,outdoor,1,2024-03-31
698,2816,owner,698,5,5,5,5,5,5,5,casual,3,night,spring,indoor,1,2024-04-01
699,2821,owner,699,4,3,5,3,4,4,5,casual,2,afternoon,spring,outdoor,1,2024-04-02
700,2826,owner,700,5,4,5,5,4,5,5,casual,2,evening,spring,outdoor,1,2024-04-02
1815,7305,guest_a,1815,5,5,4,5,5,5,5,lunch,5,afternoon,spring,indoor,1,2024-04-03
1816,7310,guest_a,1816,4,5,4,5,3,4,4,dinner,4,evening,spring,outdoor,1,2024-04-03
1817,7314,owner,1817,5,4,5,5,4,5,5,casual,2,evening,spring,outdoor,1,2024-04-05
701,2830,guest_a,701,5,5,5,4,5,4,5,lunch,7,afternoon,spring,outdoor,1,2024-04-08
702,2834,guest_a,702,4,5,4,5,4,3,4,lunch,7,evening,spring,outdoor,1,2024-04-08
703,2837,owner,703,5,4,5,5,5,4,5,celebration,2,afternoon,spring,outdoor,1,2024-04-10
704,2841,owner,704,4,4,5,4,4,3,4,casual,4,evening,spring,outdoor,1,2024-04-10
1818,7318,owner,1818,4,5,3,3,4,5,4,celebration,2,afternoon,spring,outdoor,1,2024-04-10
1819,7323,owner,1819,5,5,5,5,4,4,5,casual,2,evening,spring,outdoor,1,2024-04-10
1820,7326,guest_a,1820,5,4,5,5,5,4,5,dinner,8,afternoon,spring,outdoor,1,2024-04-11
