id,vintage_id,wine_name,producer,location,transaction_type,quantity,unit_cost,total_cost,reference_id,notes,created_at
3032,845,"Dr. Loosen Ürziger Würzgarten GG 2001","Dr.",Fridge 2,OUT,1,,,consumption-2024-01-05,"Guest service - 4 guests",2024-01-05
3033,808,"Pingus 2002","Pingus",Main Cellar A1,OUT,1,,,consumption-2024-01-05,"Guest service - 2 guests",2024-01-05
5256,845,"Dr. Loosen Ürziger Würzgarten GG 2001","Dr.",Fridge 2,OUT,1,,,consumption-2024-01-05,"Guest service - 4 guests",2024-01-05
5257,808,"Pingus 2002","Pingus",Main Cellar A1,OUT,1,,,consumption-2024-01-05,"Guest service - 2 guests",2024-01-05
3034,268,"Château Mouton Rothschild 2018","Château Mouton Rothschild 2018",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-07
3035,895,"Kistler Chardonnay Les Noisetiers 2008","Kistler",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-07
5258,268,"Château Mouton Rothschild 2018","Château Mouton Rothschild 2018",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-07
5259,895,"Kistler Chardonnay Les Noisetiers 2008","Kistler",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-07
3036,23,"Salon Le Mesnil Blanc de Blancs 2014","Salon Le",Fridge 2,OUT,1,,,consumption-2024-01-10,"Guest service - 3 guests",2024-01-10
3037,666,"Ornellaia 2012","Ornellaia",Fridge 2,OUT,1,,,consumption-2024-01-10,"Guest service - 2 guests",2024-01-10
5260,23,"Salon Le Mesnil Blanc de Blancs 2014","Salon Le",Fridge 2,OUT,1,,,consumption-2024-01-10,"Guest service - 3 guests",2024-01-10
5261,666,"Ornellaia 2012","Ornellaia",Fridge 2,OUT,1,,,consumption-2024-01-10,"Guest service - 2 guests",2024-01-10
3038,284,"Château Brane‑Cantenac 2014","Château Brane‑Cantenac 2014",Fridge 2,OUT,1,,,consumption-2024-01-12,"Guest service - 3 guests",2024-01-12
5262,284,"Château Brane‑Cantenac 2014","Château Brane‑Cantenac 2014",Fridge 2,OUT,1,,,consumption-2024-01-12,"Guest service - 3 guests",2024-01-12
3039,449,"Armand Rousseau Chambertin 2005","Armand",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-14
3040,765,"La Rioja Alta 904 Gran Reserva 2018","La",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-01-14
5263,341,"Château Carbonnieux Blanc 2019","Château Carbonnieux Blanc 2019",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-14
5264,814,"La Rioja Alta 904 Gran Reserva 2002","La",Wine Fridge Starboard,ADJUST,1,,,,"Weekly audit adjustment",2024-01-14
3041,667,"Bartolo Mascarello Barolo 2016","Bartolo",Guest Pantry 2,OUT,2,,,consumption-2024-01-15,"Guest service - 4 guests",2024-01-15
3042,675,"Gaja Barbaresco 2018","Gaja",Fridge 1,OUT,1,,,consumption-2024-01-15,"Guest service - 4 guests",2024-01-15
3043,351,"Pavillon Blanc du Château Margaux 2015","Pavillon",Fridge 2,OUT,1,,,consumption-2024-01-17,"Guest service - 3 guests",2024-01-17
5265,23,"Salon Le Mesnil Blanc de Blancs 2014","Salon Le",Fridge 2,IN,12,,,intake-295,"Delivery from order #295",2024-01-18
3044,578,"Raveneau Chablis Grand Cru Blanchot 2008","Raveneau",Main Cellar B1,ADJUST,1,,,,"Weekly audit adjustment",2024-01-21
3045,955,"Spottswoode Estate Cabernet 2014","Spottswoode",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-21
5266,390,"Armand Rousseau Chambertin 2012","Armand",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-21
5267,73,"Bollinger La Grande Année 2019","Bollinger La",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-01-21
5268,554,"Raveneau Chablis Grand Cru Blanchot 2016","Raveneau",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-21
3046,205,"Château Beychevelle 2015","Château Beychevelle 2015",Wine Fridge Starboard,OUT,1,,,consumption-2024-01-22,"Guest service - 2 guests",2024-01-22
3047,935,"Harlan Estate Proprietary Red 2012","Harlan",Guest Pantry 1,OUT,1,,,consumption-2024-01-22,"Guest service - 3 guests",2024-01-22
